case_id,is_candidate,label,dip_count,dip_indices
0,0,Non-Candidate,0,[]
1,0,Non-Candidate,0,[]
2,0,Non-Candidate,1,[np.int64(545)]
3,0,Non-Candidate,0,[]
4,0,Non-Candidate,1,[np.int64(952)]
5,1,Candidate,5,"[np.int64(78), np.int64(291), np.int64(497), np.int64(687), np.int64(902)]"
6,0,Non-Candidate,1,[np.int64(617)]
7,1,Candidate,2,"[np.int64(201), np.int64(626)]"
8,0,Non-Candidate,1,[np.int64(343)]
9,1,Candidate,6,"[np.int64(36), np.int64(191), np.int64(500), np.int64(656), np.int64(812), np.int64(974)]"
10,0,Non-Candidate,0,[]
11,0,Non-Candidate,0,[]
12,0,Non-Candidate,0,[]
13,1,Candidate,3,"[np.int64(212), np.int64(479), np.int64(743)]"
14,0,Non-Candidate,0,[]
15,1,Candidate,2,"[np.int64(446), np.int64(671)]"
16,1,Candidate,2,"[np.int64(289), np.int64(665)]"
17,0,Non-Candidate,0,[]
18,1,Candidate,2,"[np.int64(342), np.int64(747)]"
19,0,Non-Candidate,1,[np.int64(250)]
20,1,Candidate,4,"[np.int64(108), np.int64(386), np.int64(664), np.int64(943)]"
21,0,Non-Candidate,0,[]
22,0,Non-Candidate,0,[]
23,0,Non-Candidate,0,[]
24,0,Non-Candidate,0,[]
25,0,Non-Candidate,0,[]
26,1,Candidate,8,"[np.int64(70), np.int64(193), np.int64(314), np.int64(438), np.int64(559), np.int64(683), np.int64(806), np.int64(927)]"
27,1,Candidate,4,"[np.int64(105), np.int64(363), np.int64(622), np.int64(874)]"
28,1,Candidate,2,"[np.int64(346), np.int64(681)]"
29,0,Non-Candidate,0,[]
30,1,Candidate,3,"[np.int64(236), np.int64(580), np.int64(810)]"
31,0,Non-Candidate,0,[]
32,0,Non-Candidate,1,[np.int64(424)]
33,1,Candidate,4,"[np.int64(48), np.int64(389), np.int64(718), np.int64(884)]"
34,1,Candidate,5,"[np.int64(25), np.int64(255), np.int64(483), np.int64(711), np.int64(937)]"
35,0,Non-Candidate,0,[]
36,0,Non-Candidate,0,[]
37,1,Candidate,3,"[np.int64(188), np.int64(547), np.int64(888)]"
38,0,Non-Candidate,0,[]
39,0,Non-Candidate,0,[]
40,1,Candidate,3,"[np.int64(78), np.int64(412), np.int64(521)]"
41,0,Non-Candidate,1,[np.int64(307)]
42,1,Candidate,4,"[np.int64(72), np.int64(361), np.int64(521), np.int64(664)]"
43,1,Candidate,5,"[np.int64(184), np.int64(375), np.int64(568), np.int64(765), np.int64(958)]"
44,1,Candidate,2,"[np.int64(372), np.int64(777)]"
45,0,Non-Candidate,0,[]
46,1,Candidate,4,"[np.int64(100), np.int64(325), np.int64(564), np.int64(815)]"
47,0,Non-Candidate,0,[]
48,1,Candidate,4,"[np.int64(19), np.int64(223), np.int64(632), np.int64(836)]"
49,0,Non-Candidate,0,[]
50,1,Candidate,3,"[np.int64(237), np.int64(547), np.int64(849)]"
51,1,Candidate,8,"[np.int64(13), np.int64(137), np.int64(261), np.int64(383), np.int64(509), np.int64(632), np.int64(758), np.int64(882)]"
52,0,Non-Candidate,1,[np.int64(442)]
53,1,Candidate,4,"[np.int64(74), np.int64(203), np.int64(791), np.int64(897)]"
54,0,Non-Candidate,0,[]
55,1,Candidate,4,"[np.int64(73), np.int64(324), np.int64(564), np.int64(814)]"
56,1,Candidate,3,"[np.int64(67), np.int64(414), np.int64(758)]"
57,0,Non-Candidate,0,[]
58,1,Candidate,4,"[np.int64(103), np.int64(352), np.int64(566), np.int64(801)]"
59,1,Candidate,3,"[np.int64(243), np.int64(348), np.int64(966)]"
60,0,Non-Candidate,1,[np.int64(266)]
61,1,Candidate,2,"[np.int64(510), np.int64(664)]"
62,0,Non-Candidate,1,[np.int64(315)]
63,1,Candidate,3,"[np.int64(197), np.int64(544), np.int64(882)]"
64,1,Candidate,3,"[np.int64(267), np.int64(560), np.int64(859)]"
65,1,Candidate,2,"[np.int64(504), np.int64(745)]"
66,0,Non-Candidate,1,[np.int64(831)]
67,0,Non-Candidate,1,[np.int64(279)]
68,1,Candidate,4,"[np.int64(48), np.int64(360), np.int64(672), np.int64(986)]"
69,0,Non-Candidate,0,[]
70,0,Non-Candidate,0,[]
71,0,Non-Candidate,0,[]
72,0,Non-Candidate,1,[np.int64(666)]
73,1,Candidate,3,"[np.int64(164), np.int64(315), np.int64(459)]"
74,0,Non-Candidate,0,[]
75,1,Candidate,3,"[np.int64(101), np.int64(342), np.int64(589)]"
76,1,Candidate,6,"[np.int64(153), np.int64(293), np.int64(437), np.int64(708), np.int64(851), np.int64(982)]"
77,1,Candidate,2,"[np.int64(401), np.int64(815)]"
78,1,Candidate,3,"[np.int64(197), np.int64(510), np.int64(836)]"
79,1,Candidate,2,"[np.int64(77), np.int64(979)]"
80,0,Non-Candidate,0,[]
81,0,Non-Candidate,0,[]
82,0,Non-Candidate,0,[]
83,0,Non-Candidate,0,[]
84,1,Candidate,2,"[np.int64(346), np.int64(731)]"
85,1,Candidate,4,"[np.int64(204), np.int64(454), np.int64(705), np.int64(956)]"
86,1,Candidate,3,"[np.int64(193), np.int64(480), np.int64(773)]"
87,0,Non-Candidate,0,[]
88,1,Candidate,4,"[np.int64(195), np.int64(456), np.int64(716), np.int64(977)]"
89,0,Non-Candidate,0,[]
90,0,Non-Candidate,0,[]
91,0,Non-Candidate,0,[]
92,0,Non-Candidate,1,[np.int64(483)]
93,0,Non-Candidate,1,[np.int64(782)]
94,0,Non-Candidate,0,[]
95,1,Candidate,6,"[np.int64(74), np.int64(239), np.int64(405), np.int64(571), np.int64(736), np.int64(902)]"
96,1,Candidate,2,"[np.int64(561), np.int64(863)]"
97,1,Candidate,2,"[np.int64(264), np.int64(575)]"
98,1,Candidate,2,"[np.int64(279), np.int64(955)]"
99,0,Non-Candidate,1,[np.int64(560)]
100,0,Non-Candidate,0,[]
101,1,Candidate,5,"[np.int64(58), np.int64(276), np.int64(497), np.int64(718), np.int64(934)]"
102,1,Candidate,4,"[np.int64(222), np.int64(473), np.int64(726), np.int64(966)]"
103,0,Non-Candidate,0,[]
104,1,Candidate,3,"[np.int64(214), np.int64(520), np.int64(827)]"
105,1,Candidate,5,"[np.int64(160), np.int64(340), np.int64(524), np.int64(707), np.int64(890)]"
106,1,Candidate,3,"[np.int64(276), np.int64(586), np.int64(895)]"
107,0,Non-Candidate,1,[np.int64(360)]
108,0,Non-Candidate,1,[np.int64(557)]
109,1,Candidate,4,"[np.int64(48), np.int64(337), np.int64(633), np.int64(916)]"
110,0,Non-Candidate,0,[]
111,1,Candidate,7,"[np.int64(42), np.int64(183), np.int64(325), np.int64(467), np.int64(609), np.int64(750), np.int64(893)]"
112,1,Candidate,5,"[np.int64(176), np.int64(361), np.int64(531), np.int64(717), np.int64(912)]"
113,0,Non-Candidate,1,[np.int64(237)]
114,0,Non-Candidate,0,[]
115,1,Candidate,3,"[np.int64(120), np.int64(529), np.int64(928)]"
116,0,Non-Candidate,0,[]
117,0,Non-Candidate,0,[]
118,0,Non-Candidate,0,[]
119,1,Candidate,3,"[np.int64(58), np.int64(143), np.int64(378)]"
120,1,Candidate,4,"[np.int64(173), np.int64(381), np.int64(592), np.int64(818)]"
121,1,Candidate,3,"[np.int64(65), np.int64(433), np.int64(819)]"
122,1,Candidate,3,"[np.int64(153), np.int64(469), np.int64(784)]"
123,1,Candidate,3,"[np.int64(225), np.int64(524), np.int64(822)]"
124,0,Non-Candidate,1,[np.int64(438)]
125,0,Non-Candidate,0,[]
126,0,Non-Candidate,0,[]
127,1,Candidate,4,"[np.int64(205), np.int64(438), np.int64(651), np.int64(875)]"
128,1,Candidate,3,"[np.int64(169), np.int64(562), np.int64(954)]"
129,0,Non-Candidate,1,[np.int64(787)]
130,1,Candidate,7,"[np.int64(69), np.int64(214), np.int64(356), np.int64(505), np.int64(651), np.int64(796), np.int64(941)]"
131,1,Candidate,7,"[np.int64(85), np.int64(228), np.int64(369), np.int64(511), np.int64(660), np.int64(797), np.int64(945)]"
132,0,Non-Candidate,0,[]
133,1,Candidate,4,"[np.int64(85), np.int64(350), np.int64(614), np.int64(877)]"
134,1,Candidate,5,"[np.int64(176), np.int64(391), np.int64(585), np.int64(791), np.int64(979)]"
135,1,Candidate,3,"[np.int64(136), np.int64(404), np.int64(541)]"
136,0,Non-Candidate,0,[]
137,0,Non-Candidate,0,[]
138,0,Non-Candidate,0,[]
139,1,Candidate,3,"[np.int64(98), np.int64(477), np.int64(865)]"
140,1,Candidate,4,"[np.int64(204), np.int64(460), np.int64(704), np.int64(959)]"
141,1,Candidate,2,"[np.int64(355), np.int64(795)]"
142,0,Non-Candidate,0,[]
143,1,Candidate,3,"[np.int64(220), np.int64(574), np.int64(923)]"
144,0,Non-Candidate,1,[np.int64(221)]
145,1,Candidate,2,"[np.int64(418), np.int64(778)]"
146,1,Candidate,3,"[np.int64(202), np.int64(514), np.int64(805)]"
147,1,Candidate,4,"[np.int64(194), np.int64(425), np.int64(656), np.int64(887)]"
148,1,Candidate,3,"[np.int64(112), np.int64(437), np.int64(777)]"
149,0,Non-Candidate,1,[np.int64(548)]
150,0,Non-Candidate,0,[]
151,1,Candidate,3,"[np.int64(240), np.int64(568), np.int64(903)]"
152,1,Candidate,3,"[np.int64(121), np.int64(496), np.int64(867)]"
153,1,Candidate,4,"[np.int64(91), np.int64(323), np.int64(553), np.int64(785)]"
154,0,Non-Candidate,1,[np.int64(944)]
155,0,Non-Candidate,0,[]
156,1,Candidate,3,"[np.int64(291), np.int64(482), np.int64(853)]"
157,1,Candidate,6,"[np.int64(50), np.int64(196), np.int64(332), np.int64(488), np.int64(624), np.int64(915)]"
158,0,Non-Candidate,0,[]
159,1,Candidate,3,"[np.int64(292), np.int64(598), np.int64(905)]"
160,0,Non-Candidate,0,[]
161,1,Candidate,4,"[np.int64(228), np.int64(369), np.int64(501), np.int64(635)]"
162,1,Candidate,2,"[np.int64(363), np.int64(833)]"
163,1,Candidate,3,"[np.int64(66), np.int64(415), np.int64(762)]"
164,0,Non-Candidate,1,[np.int64(823)]
165,1,Candidate,6,"[np.int64(106), np.int64(248), np.int64(398), np.int64(555), np.int64(696), np.int64(852)]"
166,1,Candidate,8,"[np.int64(111), np.int64(222), np.int64(332), np.int64(442), np.int64(553), np.int64(664), np.int64(774), np.int64(885)]"
167,0,Non-Candidate,0,[]
